6.1.73	a i u f x	C	Pre-Aagam	c		
6.1.74	A	C	Pre-Aagam	c	^(A|mA)$	
6.1.76	I U e E o O	C	Pre-Aagam	c		
6.1.77.1	i I	a A u U o O e E f F x X	Pre-Aadesh	y y		
6.1.77.2	u U	a A i I o O e E f F x X	Pre-Aadesh	v v		
6.1.77.3	f F	a A i I u U o O e E x X	Pre-Aadesh	r r		
6.1.77.4	x X	a A i I u U o O e E f F	Pre-Aadesh	l l		
6.1.78	e E o O	a A i I u U o O e E f F x X	Pre-Aadesh	ay Ay av Av		
6.1.79	o O	y	Pre-Aadesh	av Av		
6.1.81	e	y	Pre-Aadesh	ay		
6.1.87	a A	i I u U f F x X	Post-Ekadesh	e e o o ar ar al al		
6.1.88	a A	e E o O	Post-Ekadesh	E E O O		
6.1.89	a	e I U	Post-Ekadesh	E E O		^(UhaH|Uhini|eti|eDte|UQaH|IraH)$
6.1.91	a A	f	Post-Ekadesh	Ar		
6.1.94	a A	a i I e E o O	Post-Ekadesh	a i I e E o O		
6.1.96	a A	u	Post-Ekadesh	u		^us$
6.1.98	t	i	Post-Ekadesh	i		^iti$
6.1.101.1	a A	a A	Post-Ekadesh	A A		
6.1.101.2	i I	i I	Post-Ekadesh	I I		
6.1.101.3	u U	u U	Post-Ekadesh	U U		
6.1.102	a i u	O	Pre-Ekadesh	A I U		^(O|as)$
6.1.106	I	O	Post-Ekadesh	O		^O$
6.1.107	a i u	a	Pre-Ekadesh	a i u		^am$
6.1.109	e o	a	Post-Aadesh	'		
6.1.123	o	a	Pre-Aadesh	ava	^go$	
6.1.124	o	i	Pre-Aadesh	ava	^go$	
6.1.128	A U I F	f	Prakritibhaav			
6.1.132	H	d	Pre-Elision		^ezaH$	
6.1.133	H	t	Pre-Elision		^syaH$	
6.1.134	H	e	Pre-Elision		^saH$	
6.1.137	m i p	k	Pre-Aagam	z	^pari$	
6.1.139	m i p	k	Pre-Aagam	s	^(up|prati|ap)$	
6.1.143	u	t	Pre-Aagam	s	^ku$	^tumburu$
6.1.144	r	p	Pre-Aagam	s	^apar$	^paraH$
6.1.145	o	p	Pre-Aagam	z	^go$	^pada$
6.1.146	A	p	Pre-Aagam	s	^A$	^pada$
